sg_uf;nm_ue;ds_cor_raca;cd_cor_raca;ds_sexo;cd_sexo;qt_candidato;qt_cand_eleitos;qt_cand_turno_2;qt_cand_nao_eleitos;qt_cand_suplentes;qt_cand_nao_informados
CE;CARIDADE;Branca;01;Masculino;2;1,0;0,0;0,0;0,0;1,0;0,0
CE;CARIDADE;Parda;03;Feminino;4;18,0;2,0;0,0;0,0;16,0;0,0
CE;CARIDADE;Parda;03;Masculino;2;33,0;9,0;0,0;1,0;23,0;0,0
CE;CARIDADE;Preta;02;Masculino;2;1,0;0,0;0,0;0,0;1,0;0,0
CE;CARIRIAÇU;Branca;01;Feminino;4;3,0;0,0;0,0;0,0;3,0;0,0
CE;CARIRIAÇU;Branca;01;Masculino;2;7,0;2,0;0,0;0,0;5,0;0,0
CE;CARIRIAÇU;Parda;03;Feminino;4;8,0;1,0;0,0;0,0;7,0;0,0
CE;CARIRIAÇU;Parda;03;Masculino;2;12,0;8,0;0,0;0,0;4,0;0,0
CE;CARIRIAÇU;Preta;02;Masculino;2;2,0;0,0;0,0;0,0;2,0;0,0
CE;CARIRÉ;Branca;01;Feminino;4;9,0;3,0;0,0;1,0;4,0;1,0
CE;CARIRÉ;Branca;01;Masculino;2;12,0;4,0;0,0;2,0;5,0;1,0
CE;CARIRÉ;Parda;03;Feminino;4;3,0;0,0;0,0;1,0;2,0;0,0
CE;CARIRÉ;Parda;03;Masculino;2;9,0;4,0;0,0;2,0;3,0;0,0
CE;CARIÚS;Branca;01;Feminino;4;13,0;2,0;0,0;2,0;9,0;0,0
CE;CARIÚS;Branca;01;Masculino;2;18,0;8,0;0,0;3,0;7,0;0,0
CE;CARIÚS;Parda;03;Feminino;4;3,0;0,0;0,0;0,0;3,0;0,0
CE;CARIÚS;Parda;03;Masculino;2;11,0;1,0;0,0;2,0;8,0;0,0
CE;CARIÚS;Preta;02;Feminino;4;1,0;0,0;0,0;1,0;0,0;0,0
CE;CARIÚS;Preta;02;Masculino;2;2,0;0,0;0,0;1,0;1,0;0,0
CE;CARNAUBAL;Branca;01;Feminino;4;9,0;3,0;0,0;2,0;4,0;0,0
CE;CARNAUBAL;Branca;01;Masculino;2;19,0;7,0;0,0;3,0;8,0;1,0
CE;CARNAUBAL;Parda;03;Feminino;4;1,0;0,0;0,0;0,0;1,0;0,0
CE;CARNAUBAL;Parda;03;Masculino;2;2,0;1,0;0,0;1,0;0,0;0,0
CE;CARNAUBAL;Preta;02;Masculino;2;1,0;0,0;0,0;0,0;1,0;0,0
CE;CASCAVEL;Amarela;04;Masculino;2;2,0;0,0;0,0;0,0;2,0;0,0
CE;CASCAVEL;Branca;01;Feminino;4;8,0;0,0;0,0;4,0;4,0;0,0
CE;CASCAVEL;Branca;01;Masculino;2;18,0;2,0;0,0;5,0;9,0;2,0
CE;CASCAVEL;Parda;03;Feminino;4;33,0;1,0;0,0;9,0;19,0;4,0
CE;CASCAVEL;Parda;03;Masculino;2;54,0;7,0;0,0;15,0;27,0;5,0
CE;CASCAVEL;Preta;02;Feminino;4;2,0;0,0;0,0;0,0;2,0;0,0
CE;CASCAVEL;Preta;02;Masculino;2;6,0;0,0;0,0;3,0;3,0;0,0
CE;CATARINA;Branca;01;Feminino;4;6,0;1,0;0,0;0,0;5,0;0,0
CE;CATARINA;Branca;01;Masculino;2;12,0;7,0;0,0;0,0;5,0;0,0
CE;CATARINA;Parda;03;Feminino;4;2,0;0,0;0,0;0,0;2,0;0,0
CE;CATARINA;Parda;03;Masculino;2;3,0;3,0;0,0;0,0;0,0;0,0
CE;CATUNDA;Branca;01;Feminino;4;5,0;2,0;0,0;1,0;2,0;0,0
CE;CATUNDA;Branca;01;Masculino;2;5,0;0,0;0,0;0,0;5,0;0,0
CE;CATUNDA;Parda;03;Feminino;4;5,0;1,0;0,0;1,0;3,0;0,0
CE;CATUNDA;Parda;03;Masculino;2;12,0;6,0;0,0;2,0;4,0;0,0
CE;CATUNDA;Preta;02;Feminino;4;1,0;0,0;0,0;1,0;0,0;0,0
CE;CATUNDA;Preta;02;Masculino;2;2,0;0,0;0,0;0,0;2,0;0,0
CE;CAUCAIA;Amarela;04;Feminino;4;1,0;0,0;0,0;0,0;1,0;0,0
CE;CAUCAIA;Amarela;04;Masculino;2;1,0;0,0;0,0;1,0;0,0;0,0
CE;CAUCAIA;Branca;01;Feminino;4;46,0;1,0;0,0;21,0;23,0;1,0
CE;CAUCAIA;Branca;01;Masculino;2;60,0;7,0;0,0;22,0;28,0;3,0
CE;CAUCAIA;Indígena;05;Feminino;4;1,0;0,0;0,0;1,0;0,0;0,0
CE;CAUCAIA;Indígena;05;Masculino;2;3,0;1,0;0,0;1,0;1,0;0,0
CE;CAUCAIA;Parda;03;Feminino;4;132,0;3,0;0,0;35,0;86,0;8,0
CE;CAUCAIA;Parda;03;Masculino;2;245,0;11,0;0,0;75,0;148,0;11,0
CE;CAUCAIA;Preta;02;Feminino;4;19,0;0,0;0,0;7,0;10,0;2,0
CE;CAUCAIA;Preta;02;Masculino;2;28,0;0,0;0,0;8,0;20,0;0,0
CE;CEDRO;Branca;01;Feminino;4;5,0;0,0;0,0;1,0;4,0;0,0
CE;CEDRO;Branca;01;Masculino;2;9,0;6,0;0,0;1,0;2,0;0,0
CE;CEDRO;Parda;03;Feminino;4;13,0;3,0;0,0;3,0;7,0;0,0
CE;CEDRO;Parda;03;Masculino;2;22,0;2,0;0,0;7,0;12,0;1,0
CE;CEDRO;Preta;02;Feminino;4;4,0;0,0;0,0;2,0;2,0;0,0
CE;CEDRO;Preta;02;Masculino;2;5,0;0,0;0,0;3,0;2,0;0,0
CE;CHAVAL;Branca;01;Feminino;4;2,0;1,0;0,0;0,0;1,0;0,0
CE;CHAVAL;Branca;01;Masculino;2;2,0;1,0;0,0;0,0;1,0;0,0
CE;CHAVAL;Parda;03;Feminino;4;8,0;4,0;0,0;2,0;2,0;0,0
CE;CHAVAL;Parda;03;Masculino;2;20,0;3,0;0,0;4,0;13,0;0,0
CE;CHOROZINHO;Branca;01;Feminino;4;2,0;0,0;0,0;0,0;2,0;0,0
CE;CHOROZINHO;Branca;01;Masculino;2;1,0;1,0;0,0;0,0;0,0;0,0
CE;CHOROZINHO;Parda;03;Feminino;4;11,0;3,0;0,0;1,0;7,0;0,0
CE;CHOROZINHO;Parda;03;Masculino;2;25,0;6,0;0,0;0,0;19,0;0,0
CE;CHOROZINHO;Preta;02;Masculino;2;1,0;1,0;0,0;0,0;0,0;0,0
CE;CHORÓ;Branca;01;Feminino;4;3,0;0,0;0,0;0,0;3,0;0,0
CE;CHORÓ;Branca;01;Masculino;2;2,0;1,0;0,0;0,0;1,0;0,0
